	Term_NDoc_Date	Sentence	Frame
665	18_127_2015-10-01	Wir brauchen ein einheitli­ ches EU­Asylrecht, auch bei Verfahren und Leistungs­ standards.	
666	18_127_2015-10-01	Wir werden keines der Probleme auf der Welt lösen können, indem wir unbegrenzten Zuzug nach Europa erlauben und diesen einfach nur besser organi­ sieren.	
667	18_127_2015-10-01	Wir müssen die Fluchtursachen angehen und dazu beitragen, dass sich nicht noch mehr Menschen auf den  Weg machen.	
668	18_127_2015-10-01	Über 60 Anschläge auf Asylunterkünfte sind beschämend.	
669	18_127_2015-10-01	Ich habe im Bayerischen Fernsehen erlebt, wie ein Iraner, der in Bayern lebt, erklärte, dass er vor zwei Jahren einen Asyl­ antrag gestellt hat.	
670	18_127_2015-10-01	Mein Haupt­ anliegen ist, dass zum Abschluss des Asylverfahrens die Zahlung beendet wird.	
671	18_127_2015-10-01	Was ist mit all den Geduldeten, denen, die kein Asyl bekommen, aber auch nicht wegge­ schickt werden können?	
672	18_127_2015-10-01	Wir müssen in erster Linie die Fluchtursachen bekämp­ fen.	
673	18_127_2015-10-01	Wenn man dann aber einem 17­jährigen jun­ gen Mann gegenübersteht, der erzählt, wie er auf seiner Flucht aus Eritrea vor Gewalt und Verfolgung tagelang ohne Wasser durch die Wüste geirrt ist, wie er von be­ trunkenen Schleppern verprügelt wurde und noch vieles andere mehr erlebt hat, dann wird deutlich, welche Di­ mension dieses Leid wirklich hat.	
674	18_127_2015-10-01	Für die Perspektive eines selbstbestimmten Lebens ist es wichtig, dass ein schnellerer Zugang zu Sprach­ und Integrationskursen für Menschen mit einer guten Blei­ beperspektive beschlossen wird.	
675	18_127_2015-10-01	Ich möchte ausdrücklich auch Ihnen, Herr Minister, dan­ ken, dass Sie am Montag all jenen THW­Helferinnen und ­Helfern gedankt haben, die ehrenamtlich zum Bei­ spiel dafür sorgen, dass vor Ort, wo es darauf ankommt, Unterkünfte entsprechend ausgestattet und Sprachkurse angeboten werden.	
676	18_127_2015-10-01	Das öffnet die Tür zu einem Einwanderungsge­ setz, jedenfalls ein kleines Stück.	
677	18_127_2015-10-01	Aus diesem Einwanderungskorridor muss aber dann endlich ein modernes Einwanderungsgesetz wer­ den.	
678	18_127_2015-10-01	Sie versuchen, das Asylrecht an verschiedenen Stellen zu schwächen, und zwar auf Kosten der Flüchtlinge.	
679	18_127_2015-10-01	Hier muss entsprechend bestraft und gegebenenfalls auch ausgewiesen werden.	
680	18_127_2015-10-01	Als Erste hat sie einen Flüchtlings­ und Integrationsgipfel initiiert.	
681	18_127_2015-10-01	Wir beraten heute die bedeutendste Reform des deut­ schen Asylrechts seit den 1990er­Jahren.	
682	18_127_2015-10-01	Oktober 201512278  (A) (C)  (B) (D)  dürftig sind, den Anreiz nehmen, überhaupt einen Asyl­ antrag in Deutschland zu stellen.	
683	18_127_2015-10-01	Die Leistungen werden nach Abschluss des Asyl­ verfahrens deutlich gekürzt, und der Antragsteller wird direkt aus der Erstaufnahmeeinrichtung in sein Heimat­ land zurückgeschickt.	
684	18_127_2015-10-01	Wer keinen Anspruch auf Asyl hat und dennoch in Deutschland einen Asylantrag stellt, der muss in seine Heimat zurückgehen, und zwar rasch.	
685	18_127_2015-10-01	Die Integration der Flüchtlinge wird nur gelingen, wenn wir als aufnehmende Gesellschaft eine klare Vor­ stellung davon haben, was wir brauchen und was wir nicht brauchen, und wenn wir klare Ansagen machen.	
686	18_127_2015-10-01	Alle anderen haben nichtsdestotrotz ein individuelles Recht darauf, nach unserem Grundgesetz jedenfalls immer noch, hier einen Antrag auf Asyl zu stellen.	
687	18_127_2015-10-01	Menschenwürde ist nicht verhan­ delbar, auch nicht zum Zweck der Migrationspolitik.	
688	18_127_2015-10-01	Jetzt kommt aus Bayern der Ruf, sogenannte Transitzentren an den Grenzen einzurichten.	
689	18_127_2015-10-01	Wir haben eine rechtliche, eine menschliche Verpflichtung, unser Asylsystem nach allen Kräften des Staates und der Gesellschaft arbeitsfähig und funktionsfähig zu halten.	
690	18_127_2015-10-01	Unser Asylrecht kann nur dann effektiv wirken, wenn wir seine Grenzen respektieren, Grenzen, die trotz aller mensch­ lich möglichen Anstrengungen erkennbar in Teilen er­ reicht und überschritten sind.	
691	18_127_2015-10-01	Der Gesetzentwurf des Bundesinnenministers schwächt nicht das Recht auf Asyl.	
692	18_127_2015-10-01	Der Dreh­ und Angelpunkt ist aber die – entschuldi­ gen Sie den Ausdruck – naive Annahme, man könnte durch Gesetz beschließen, Menschen länger in Erstauf­ nahmeeinrichtungen zu lassen, weil sie aus sicheren Her­ kunftsstaaten kommen oder Asylfolgeantragsteller sind.	
693	18_127_2015-10-01	Was wir heute auf den parla­ mentarischen Weg bringen, ist die umfassendste Reform unseres deutschen Asylrechts seit dem Asylkompromiss in den 90er­Jahren.	
694	18_127_2015-10-01	Es ist herausragend, was in Deutsch­ land derzeit passiert und wie viel Solidarität und Empa­ thie gegenüber den Flüchtlingen und Asylbewerbern an den Tag gelegt wird.	
695	18_127_2015-10-01	Was die Registrie­ rung, Antragstellung und Antragsbearbeitung anbelangt, ist dies eine riesige Herausforderung, und die Unterbrin­ gung sowie die Integration in unsere Gesellschaft und in den Arbeitsmarkt sind auch für ein starkes und wohlha­ bendes Land wie Deutschland auch bei größter Anstren­ gung auf die Dauer nicht zu leisten, wenn die Zahlen auf diesem hohen Niveau bleiben.	
696	18_127_2015-10-01	Meine sehr verehrten Damen und Herren, allein im September sind mehrere zehntausend Flüchtlinge und Asylbewerber nach Deutschland gekommen.	
697	18_127_2015-10-01	Jeder Flüchtling und jeder Asylbewerber muss schnellstmöglich, wenn er  Deutscher Bundestag – 18.	
698	18_127_2015-10-01	Wenn Deutschland an Leistungs­ und Integrationskraft einbüßt, ist letzten Endes nieman­ dem geholfen.	
699	18_127_2015-10-01	Wir geben mit diesem Gesetz zur Beschleunigung des Asylverfahrens ein wichtiges Signal an all die Menschen, die nicht schutzbedürftig sind, sich nicht nach Deutsch­ land aufzumachen.	
