	Term_NDoc_Date	Sentence	Frame
979	18_138_2015-11-24	Für die Unterbringung von Asylbewerbern und den sozialen Wohnungsbau hat der Bund die guten Konditionen in diesem Jahr weiter verbessert.	
980	18_138_2015-11-24	Die BImA berichtet uns, dass bis Ende Oktober erst vier Verkaufsfälle vorliegen, davon nur einer zur Unterbringung von Flüchtlingen und Asylbewerbern.	
981	18_138_2015-11-24	Er ist der Sicherheitsminister, der Integrationsminister – zugegeben mit etlichen Aufsehern –, der Kommunalminister und auch der Sportminister.	
982	18_138_2015-11-24	Die Linke schlägt Ihnen ein Zukunftsprogramm vor, das zur gesellschaftlichen Integration von Benachteiligten in Deutschland und zu uns Geflüchteten gleichermaßen beiträgt.	
983	18_138_2015-11-24	Die Linke fordert bessere Integrationskurse, mehr Geld für einen guten Zweck.	
984	18_138_2015-11-24	Wir fordern auch – an anderer Stelle im Etat –, die Integration in Arbeit und Ausbildung zu verbessern.	
985	18_138_2015-11-24	Das Problem dieses Amtes ist doch aber, dass es bislang eher eine Behörde der staatlich verordneten Zuwanderungsverhinderung gewesen ist.	
986	18_138_2015-11-24	Meine Damen und Herren, wir brauchen in Deutschland wieder mehr Geld und Ideen für die Verbesserung der sozialen und kulturellen Infrastruktur, um eine humane Integration der hier Benachteiligten und der zu uns Geflüchteten zu schaffen.	
987	18_138_2015-11-24	Ob wir die Zuwanderung „begrenzen“ oder ob wir sie „reduzieren“, ist letztlich egal.	
988	18_138_2015-11-24	Hier sind zu nennen: schnellere Asylverfahren, vor allem der Abbau des großen Bergs an aufgelaufenen unbearbeiteten Anträgen, durchgängige Registrierung und Kontrolle derer, die zu uns kommen, schnellere Abschiebung derer, die keine Perspektive in unserem Land haben, und umgehende Integrationsmaßnahmen für diejenigen, die auf absehbare Zeit bei uns bleiben werden.	
989	18_138_2015-11-24	Allein für den Bereich der Integrationsmaßnahmen stellen wir in diesem Haushalt im Vergleich zu 2015  326 Millionen Euro mehr zur Verfügung.	
990	18_138_2015-11-24	Das unterstreicht, dass wir die Aufgabe der Integration gerade in der ersten Zeit, wenn die Menschen zu uns kommen, sehr ernst nehmen.	
991	18_138_2015-11-24	Denn es geht nicht nur darum, die Asylverfahren zu beschleunigen, sondern es geht auch darum, die Bundesagentur für Arbeit auf das vorzubereiten, was im nächsten Jahr oder in zwei Jahren auf sie zukommt, nämlich die Menschen, sobald ihr Asylverfahren bearbeitet ist und sie einen Status haben, in den Arbeitsmarkt zu integrieren.	
992	18_138_2015-11-24	Ich bin froh, dass es uns in den Beratungen gelungen ist, alle Sicherheitsbehörden substanziell zu verstärken, vor allem unter dem Aspekt Terrorismusabwehr/Terrorismusbekämpfung.	
993	18_138_2015-11-24	In dem Großteil meiner Rede geht es jetzt um das Thema Integration.	
994	18_138_2015-11-24	Bei den Integrationskursen hat der Innenminister  selber einen Bedarf auf Grundlage der Flüchtlingszahlen errechnet – und diese Prognose wird im Zweifel ja eher getoppt.	
995	18_138_2015-11-24	Ich spreche jetzt auch über den Bedarf des Personals, der Sprachlehrer, der Ausbilderinnen und Ausbilder in den Sprachkursen.	
996	18_138_2015-11-24	Wir können es uns nicht leisten, auch bei der Integration in solche Engpässe zu laufen.	
997	18_138_2015-11-24	Das hat auch einen erheblichen Einfluss darauf, wie schnell Flüchtlinge Zugang zu Integrationskursen bekommen.	
998	18_138_2015-11-24	Da bedaure ich sehr, dass das BAMF und Sie das integrationspolitische Versprechen, möglichst alle Asylsuchenden, die eine gute Bleibeperspektive haben, in Sprachkurse aufzunehmen,  Dr. Reinhard Brandl  Deutscher Bundestag – 18.	
999	18_138_2015-11-24	Diese bekommen dann trotz guter Bleibeperspektive am Ende nicht den Zugang zu einem Sprachkurs.	
