	Term_NDoc_Date	Sentence	Frame
585	18_121_2015-09-10	Vielmehr heißt Integration, dass sich die Gesellschaft fortlaufend verändert.	
586	18_121_2015-09-10	Integration von Anfang an, so früh wie möglich,  (Beifall bei Abgeordneten der CDU/CSU und der SPD)  so zielgenau wie möglich und so bedarfsorientiert wie möglich.	
587	18_121_2015-09-10	Denn die Integration wird nur dann gelingen, wenn die Menschen, die sich jetzt zu Recht engagiert einbringen und die Situation als Chance für unsere Gesellschaft sehen, erkennen, dass die Politik in dieser Phase handelt.	
588	18_121_2015-09-10	Unsere Kanzlerin hat in der gestrigen Generaldebatte sehr prominent zu Beginn ihrer Rede betont, dass die Integration für sie und die Regierungsparteien allerhöchste Priorität hat.	
589	18_121_2015-09-10	Unser Einzelplan 17, meine sehr geehrten Damen und Herren, bietet sich für Integration geradezu an.	
590	18_121_2015-09-10	Bereits mit dem Nachtragshaushalt 2015 haben wir im Kinder- und Jugendplan wegen der Flüchtlingsproblematik 8 Millionen Euro für die Jugendmigrationsdienste und 4 Millionen Euro für die C1-Sprachkurse aufgesattelt, gemeinsam mit den Kollegen der Union.	
591	18_121_2015-09-10	Das ist ein Zuzug von Menschen, die weder unser Verständnis von Freiheit noch von Grundrechten kennen, von Menschen, denen unsere Kultur, unsere Gebräuche und unser Leben bisher weitgehend fremd waren.	
592	18_121_2015-09-10	Denn das hat nicht nur etwas mit Baustandards oder Verteilschlüsseln zu tun, es hat auch nicht immer etwas damit zu tun, wie wir das Asylrecht gestalten oder was wir als sichere Herkunftsländer benennen, sondern es hat vor allen Dingen etwas damit zu tun, wie wir die Integration vorantreiben.	
593	18_126_2015-09-30	Entwurf eines Asylverfahrensbeschleunigungsgesetzes und Verordnung zum Asylverfahrensbeschleunigungsgesetz  .	
594	18_126_2015-09-30	Die Bundesregierung hat als Thema der gestrigen Kabinettssitzung mitgeteilt: Entwurf eines Asylverfahrensbeschleunigungsgesetzes und Verordnung zum Asylverfahrensbeschleunigungsgesetz.	
595	18_126_2015-09-30	Es gibt viele Maßnahmen zur Verbesserung der Versorgung von Asylbewerbern: Impfungen, psy Deutscher Bundestag – 18.	
596	18_126_2015-09-30	Die Leistungen dieser Gesundheitskarte werden aber von Beginn an auf dem abgesenkten Niveau des Asylbewerberleistungsgesetzes erfolgen.	
597	18_126_2015-09-30	Daneben findet sich in dem Gesetzentwurf ein Beschäftigungsverbot bei offensichtlich unbegründetem Asylantrag.	
598	18_126_2015-09-30	Dazu gehören der Zugang zu Sprachkursen, der Zugang zu Berufsförderungskursen sowie eine bessere Vernetzung zwischen Integrationskursen und berufsbezogenen Sprachkursen.	
599	18_126_2015-09-30	Dazu gehören viele Dinge, mit denen wir ermöglichen, dass die Integration nicht durch lange Verfahren in Erstaufnahmeeinrichtungen oder anderswo verzögert oder für später erschwert wird.	
