	Term_NDoc_Date	Sentence	Frame
514	18_121_2015-09-10	Deswegen geht es nicht nur um die Erhöhung der Zahl der berufsbezogenen Sprachkurse, sondern auch darum, möglichst früh Sprachkurse anzubieten und eine ununterbrochene Linie des Lernens zu ermöglichen.	
515	18_121_2015-09-10	Wir brauchen Zuwanderung.	
516	18_121_2015-09-10	Doch bis es dazu kommt, wollen wir versuchen, mit ganz konkreten Maßnahmen Druck von den Asylverfahren zu nehmen.	
517	18_121_2015-09-10	Derzeit läuft dies alles über die Asylverfahren.	
518	18_121_2015-09-10	Das halte ich für einen vernünftigen Weg, um das Asylverfahren zu entlasten.	
519	18_121_2015-09-10	Wir haben den Vorschlag unterbreitet, das gute und bewährte Instrument der Integrationsbetriebe zu nutzen, um sozusagen Schritte zu ermöglichen, den ersten Arbeitsmarkt zu erreichen.	
520	18_121_2015-09-10	Meine Damen und Herren, wir stehen vor der großen Aufgabe der Integration von Flüchtlingen, die eine dauerhafte Duldung haben, die ein Bleiberecht haben.	
521	18_121_2015-09-10	Es gilt, die Willkommenskultur, die die Menschen überall, auf den Bahnhöfen und auf den Straßen, dokumentieren, auf die gesamte Gesellschaft auszudehnen.	
522	18_121_2015-09-10	Meine Damen und Herren, zu den neuen Chancen, vor denen wir stehen, gehört auch, dass wir mithilfe der jungen Zuwanderer, die jetzt zu uns kommen, die demografische Entwicklung neu angehen können.	
523	18_121_2015-09-10	Dazu zählen Maßnahmen zum Unterhalt und zur Integration – ALG-II-Leistungen, Kosten der Unterkunft –, berufliche Maßnahmen – Jobcenter, Förderprogramme, Qualifizierung – und die ESF-Gelder, die meist leider bereits gebunden sind.	
524	18_121_2015-09-10	September 201511758  (A) (C)  (B) (D)  davon ausgegangen – die Zahlen nenne ich Ihnen in aller Deutlichkeit –, dass in diesem Jahr 300 000 Asylanträge gestellt werden und sich weitere 370 000 Flüchtlinge mit sogenannter SGB-III- und SGB-II-Relevanz im Land befinden.	
525	18_121_2015-09-10	Das Programm „Integrationsrichtlinie Bund“ wurde auf 2 000 Menschen jährlich ausgelegt.	
526	18_121_2015-09-10	Für die ESF-BAMF-Sprachkurse hat das BMAS ganze 26 000 Plätze einkalkuliert.	
527	18_121_2015-09-10	Wir brauchen die Jobchancen, wir brauchen die Integrationsmittel, wir brauchen die Sprachkurse.	
528	18_121_2015-09-10	Erhöhung, die im Haushalt ausgewiesen ist.	
529	18_121_2015-09-10	Es wird, technisch betrachtet, zu einer Art Nachtrag zum Haushalt kommen müssen, schon allein aufgrund der zusätzlichen Ausgaben in den Bereichen Flucht, Asyl und Anerkennung und den entsprechenden Leistungsgesetzen des Bundes.	
530	18_121_2015-09-10	Sie hat – erstens – gesagt: Wir müssen alles tun, um die Menschen, die nach Abschluss des Asylverfahrens bei uns bleiben können, mit aktiver Arbeitsmarktpolitik in unsere Gesellschaft zu integrieren.	
531	18_121_2015-09-10	Zum Zweiten wünsche ich mir schon, dass wir Impulse für einen geordneten Zugang zum Arbeitsmarkt schaffen, und zwar über das Asylverfahren hinaus.	
532	18_121_2015-09-10	Ich bin ein Anhänger einer Einwanderungsgesetzgebung.	
533	18_121_2015-09-10	Ich wünsche mir schon, dass wir Arbeitsmarktprobleme, auch mit Blick auf die Situation auf dem Westbalkan, ein Stück weit über eine neue Zuwanderungsgesetzgebung regeln.	
534	18_121_2015-09-10	Auch in den übrigen Regionen Deutschlands – am Rhein, am Main und im Ruhrgebiet – sagen die Wirtschaftsverbände: Lasst uns Migration und Asyl für eine gute Arbeitsmarktpolitik nutzen.	
535	18_121_2015-09-10	Anstatt Angst in unserer Gesellschaft zu schüren, sollten wir Zuwanderung auch als eine Chance für die Qualifizierung der Menschen am Arbeitsmarkt begreifen.	
536	18_121_2015-09-10	Ich habe bereits am Dienstag vorgeschlagen, dass wir uns in dieser Haushaltsdebatte endlich dazu durchringen sollten, ein Integrationskonjunkturprogramm aufzulegen.	
537	18_121_2015-09-10	Ich möchte zu Beginn auf einen Vorschlag aus dem Koalitionspaket vom vergangenen Wochenende hinweisen, über den auch schon vor der Sommerpause diskutiert worden ist, nämlich die Umwandlung von Geldleistungen in Sachleistungen und die Kürzungen von Leistungen nach dem Asylbewerberleistungsgesetz.	
538	18_121_2015-09-10	Es schränkt die Freiheit und Selbstbestimmung der Asylbewerber unzumutbar ein, und es ist völlig diskriminierend.	
539	18_121_2015-09-10	Statt die Leistungen für Flüchtlinge noch weiter zu kürzen, fordern wir Sie auf, das Asylbewerberleistungsgesetz endlich abzuschaffen,  (Beifall beim BÜNDNIS 90/DIE GRÜNEN und bei der LINKEN)  und das aus einem weiteren wichtigen Grund: Die völlig unwürdige und unzureichende Gesundheitsversorgung wäre dann beendet.	
540	18_121_2015-09-10	Wir brauchen keine Abschreckungslogik, sondern wir brauchen endlich eine echte Willkommenskultur.	
541	18_121_2015-09-10	Auch dazu wäre ein Schritt in die richtige Richtung die Abschaffung des Asylbewerberleistungsgesetzes.	
542	18_121_2015-09-10	Gehen Sie also wenigstens diesen Schritt, und schaffen Sie das Asylbewerberleistungsgesetz endlich ab!	
543	18_121_2015-09-10	Menschen flüchten vor Krieg und Elend und erwarten zu Recht, dass wir ihnen Asyl gewähren und ein Leben in Sicherheit ermöglichen.	
544	18_121_2015-09-10	Die Erfahrungen aus unserer Vergangenheit sollten wir uns bei der Integration der jetzt zu uns kommenden Menschen zunutze machen.	
545	18_121_2015-09-10	Dabei wird der Haushalt des Bundesministeriums für Arbeit und Soziales wie kein anderer von der steigenden Zahl von Asylsuchenden betroffen sein.	
546	18_121_2015-09-10	Das umfasst Hartz-IV-Leistungen auf der einen Seite und den Bereich der Arbeitsförderung und der beruflichen Integration von Zuwanderern auf der anderen Seite.	
547	18_121_2015-09-10	In Sachen Integration haben wir mit der Verkürzung der Wartefrist für die Arbeitserlaubnis einen ersten Schritt gemacht.	
548	18_121_2015-09-10	Ich sage an dieser Stelle auch ganz deutlich, dass ich die Wirtschaft hier ganz klar mit in der Verantwortung und mit in der Pflicht sehe, sich nachhaltig für die Integration von Flüchtlingen zu engagieren.	
549	18_121_2015-09-10	Meine Damen und Herren, Deutschland erwartet in diesem Jahr circa 800 000 Asylbewerberinnen und Asylbewerber.	
