,Term_NDoc_Date,Sentence
28,18_100_2015-04-23,"Ausländer, Migranten, Mitbürger mit Migrationshintergrund, von einem oder zwei ausländischen Elternteilen, aus der soundsovielten Generation, Deutsche mit Zuwanderungsgeschichte."
29,18_100_2015-04-23,"Erst langsam gewöhnen wir uns daran, ein Einwanderungsland zu sein."
30,18_100_2015-04-23,"Sie sollte nicht einfach nur ein Vorschuss sein, auf dass die künftige Integration der Staatsbürger gelingen möge."
31,18_100_2015-04-23,Die Verleihung der Staatsbürgerschaft sollte vielmehr das vorläufige Ende des Integrationsprozesses darstellen.
32,18_100_2015-04-23,Wie viele Streitfälle haben wir denn jetzt schon im Asylrecht?
33,18_100_2015-04-23,"Der Begriff „rechtmäßig“ gilt nur für denjenigen, der eine einjährige Aufenthaltserlaubnis hat, und nicht für Touristen."
34,18_100_2015-04-23,"Zur Willkommenskultur gehört aber auch, dass sich die Wirtschaft auf sich verändernde Familienmodelle besser einstellt."
35,18_100_2015-04-23,Das Land ist kein Rückzugsort mehr für den international tätigen Terrorismus.
36,18_100_2015-04-23,Asyl gewähren.
37,18_100_2015-04-23,"Deshalb müssen wir auch so ehrlich sein und da, wo es möglich ist, Möglichkeiten der legalen Einwanderung schaffen."
38,18_100_2015-04-23,"Genau das, liebe Kolleginnen und Kollegen, ist für viele Syrerinnen und Syrer der Anlass, mit viel Geld auf dem Schwarzmarkt Termine zu ergattern oder Schlepper zu bezahlen, damit sie sie über das Mittelmeer fahren."
39,18_100_2015-04-23,Davon sind fast 70 000 nach Beginn des Konfliktes als Asylbewerber zu uns gekommen.
40,18_100_2015-04-23,Seit Juni 2014 wurde kein Asylantrag mit dem Herkunftsland Irak negativ entschieden.
41,18_100_2015-04-23,Ein Drittel davon hat inzwischen Asyl bei uns beantragt.
42,18_100_2015-04-23,"Flankiert wird diese Änderung im Strafgesetzbuch durch ein weiteres Gesetzgebungsverfahren, in dem wir das Passgesetz ändern und Gefährdern – also Personen, die unter Terrorismusverdacht stehen – den Personalausweis entziehen und sie am Verlassen des Landes hindern."
43,18_100_2015-04-23,Gleichzeitig wird die Bestrafung der sogenannten Terrorismusfinanzierung neu geregelt.
44,18_100_2015-04-23,"Die Absicht der Terrorismusfinanzierung nachzuweisen, wird mindestens genauso schwer sein, wie das Wissen um die Terrorismusfinanzierung nachzuweisen."
45,18_100_2015-04-23,"Wenn wir auf dem mit dem Terrorismusstrafrecht 1976 begonnenen Weg einer Entwicklung weg von Tatstrafrecht und Schuldprinzip hin zu einer Verpolizeilichung des Strafrechts nicht endlich umkehren, sondern ihn immer weiter beschreiten, dann haben am Ende all jene Terroristinnen und Terroristen gewonnen, die sich gegen eine freiheitlich-demokratische Grundordnung wenden."
46,18_100_2015-04-23,"Terrorismus kennt keine nationalen Grenzen, und seine internationalen Netzwerke funktionieren offensichtlich reibungslos."
47,18_100_2015-04-23,"Das bedeutet aber gleichzeitig auch, dass die Bekämpfung des Terrorismus keine Aufgabe einzelner Nationalstaaten mehr sein kann."
48,18_100_2015-04-23,"Während sich bei der Strafbarkeit der Ausreise mit der Absicht, terroristische Straftaten zu begehen, die Neuregelung in die Systematik des § 89 a Strafgesetzbuch einfügt, sodass die tätige Reue zu einer Strafmilderung oder zu einem Absehen von Strafe führen kann, war dies im Zusammenhang mit der Terrorismusfinanzierung nicht vorgesehen."
49,18_100_2015-04-23,Nunmehr wird mit dem neuen § 89 c Absatz 7 auch für die Strafbarkeit der Terrorismusfinanzierung die tätige Reue als Möglichkeit der Strafmilderung oder des Absehens von Strafe eingeführt.
50,18_100_2015-04-23,"Das ist ein wichtiges Signal, um denjenigen Tätern, die sich vom Terrorismus abwenden möchten, die Möglichkeit zu geben, ihre Strafe durch die aktive Hilfe zur Aufklärung der Strukturen des Terrorismus zu reduzieren oder gar abzuwenden."
51,18_100_2015-04-23,"Meine lieben Kolleginnen und Kollegen, das heute zu beschließende Gesetz ist ein wichtiger Baustein bei der Bekämpfung des Terrorismus mit dem Mittel des Strafrechts."
52,18_100_2015-04-23,"Es ist auch nicht auszuschließen, dass wir uns angesichts der Strukturen des Terrorismus noch über weitere Maßnahmen des Gesetzgebers in naher oder weiterer Zukunft werden unterhalten müssen."
53,18_100_2015-04-23,Insofern wird uns der strafrechtliche Aspekt der Terrorismusbekämpfung weiter beschäftigen.
54,18_100_2015-04-23,"Ich finde, eine Konsequenz muss sein, dass wir uns entschlossen dafür einsetzen, dass die Menschen nicht aus ihrer Heimat fliehen müssen, zum Beispiel, weil es dort aufgrund von Terrorismus zu unsicher geworden ist."
55,18_100_2015-04-23,"Genau dieses Ziel verfolgt die UN-Resolution, in der der Sicherheitsrat alle Mitgliedstaaten auffordert, die Ausreise von Dschihadisten, die in terroristischer Absicht ausreisen wollen, unter Strafe zu stellen."
56,18_100_2015-04-23,"Dem gleichen Ziel dient die Aufforderung der Financial Action Task Force der OECD, jegliche Terrorismusfinanzierung unter Strafe zu stellen."
57,18_100_2015-04-23,"Richtig ist, dass die Strafbarkeit sehr weit vorgezogen wird – das will ich überhaupt nicht in Abrede stellen –, aber angesichts des hohen Gefährdungspotenzials und des dringenden Handlungsbedarfs, den Terrorismus zu bekämpfen, ist dies aus meiner Sicht gerechtfertigt."
58,18_100_2015-04-23,Schon heute ist die Terrorismusfinanzierung strafbar.
59,18_100_2015-04-23,"Außerdem darf ich daran erinnern, dass wir beim Generalbundesanwalt sechs zusätzliche Stellen geschaffen haben, sodass jetzt zusätzliches Personal im Bereich der Terrorismusbekämpfung ganz gezielt eingesetzt werden kann."
60,18_100_2015-04-23,"Ich glaube – damit komme ich zum Schluss –, dass wir mit diesem Gesetzentwurf wichtige Bausteine bei der Bekämpfung des Terrorismus und seiner Finanzierung beschließen."
61,18_100_2015-04-23,"Die Resolution war die Reaktion auf den wachsenden internationalen Terrorismus insbesondere durch den Islamischen Staat, IS, im Irak und Syrien."
62,18_100_2015-04-23,"Damit sich die betroffenen Personen innerhalb Deutschlands weiterhin ausweisen können, benötigen sie ein geeignetes Ersatzdokument."
63,18_100_2015-04-23,"Wir werden in diesem Zusammenhang auch noch über das Gemeinsame Terrorismusabwehrzentrum und die Antiterrordatei sprechen, ebenso über Prävention und die Verschärfung der Strafbarkeit des Aufenthalts in Ter Deutscher Bundestag – 18. Wahlperiode – 100. Sitzung."
64,18_100_2015-04-23,Zudem haben wir einen neuen Straftatbestand die Finanzierung des Terrorismus betreffend geschaffen.
65,18_100_2015-04-23,"In Zukunft können wir auch bei kleinsten Beträgen, die in die Unterstützung des Terrorismus fließen, mit Mitteln des Strafrechts vorgehen."
66,18_100_2015-04-23,"Denn am Ende sind die Gefährder vielleicht sogar noch stolz darauf, mit einem amtlichen Dokument endlich als IS-treue Dschihadisten eingestuft zu werden."
67,18_100_2015-04-23,"Zur Begründung erklärt sie, damit sollten mutmaßliche Dschihadisten gehindert werden, sich dem sogenannten Islamischen Staat anzuschließen."
68,18_100_2015-04-23,"Der Schalterbeamte bei der Post, der neue Vermieter, der Bankangestellte und wo man sich sonst noch ausweisen muss, alle erfahren, dass der Inhaber des Ausweises vom Staat als mutmaßlicher Djihadist angesehen wird."
69,18_100_2015-04-23,"Das bedeutet: Alle Maßnahmen im Kampf gegen den Terrorismus müssen geeignet, hinreichend bestimmt und verhältnismäßig sein."
70,18_100_2015-04-23,So bleibt es dabei: Mögliche Dschihadisten werden auf dem Postweg zum Austausch ihrer Dokumente aufgefordert.
71,18_100_2015-04-23,"Wenn wir über Flüchtlinge reden, dann müssen wir vor allem auch über Fluchtursachen reden."
72,18_103_2015-05-07,"Berlin, Donnerstag, den 7. Mai 2015  Präsident Dr. Norbert Lammert  (A) (C)  (D)(B) zur Seenotrettung von Flüchtlingen im Mittelmeer und zu einer geforderten Umkehr in der Asylpolitik – werden abgesetzt."
73,18_103_2015-05-07,"Wir haben eine Reihe von Gebieten in Deutschland ausgewiesen, wo die Anwendung dieser Technologie ausgeschlossen wird, wir haben Umweltverträglichkeitsprüfungen in vielen Bereichen vorgesehen, die es heute noch nicht gibt."
74,18_103_2015-05-07,"Die mutige politische Saat von Ben-Gurion und später Konrad Adenauer – sie ist aufgeblüht, und sie trägt Früchte, auch über unsere eigenen Grenzen hinaus, wenn wir uns zum Beispiel in den internationalen Foren gemeinsam gegen Antisemitismus und Rassismus einsetzen."
75,18_103_2015-05-07,"Das heißt eben, dass wir hier bei uns zu Hause aufstehen müssen gegen jegliche Form von Antisemitismus, Rassismus und Fremdenhass."
76,18_103_2015-05-07,Für viele osteuropäische Jüdinnen und Juden war gerade Deutschland ein Einwanderungsland.
77,18_103_2015-05-07,"Es ist beispielsweise überliefert, dass ein für die Kriegführung in Griechenland benötigtes deutsches Schiff stattdessen für die Deportation von 200 Jüdinnen und Juden nach Auschwitz genutzt wurde."
78,18_103_2015-05-07,Das gilt ebenso für jede Form des Rassismus.
79,18_103_2015-05-07,"Israel war ständig in Sorge, ständig im Abwehrkampf, ständig von Terrorismus überzogen."
80,18_103_2015-05-07,"Für uns muss gelten: Antisemitismus, Rassismus, Abgrenzung, Ausgrenzung, Diskriminierung – all das darf in Deutschland, darf in Europa, darf in der Welt keinen Platz haben."
81,18_103_2015-05-07,"Es waren Deutsche, die im südpolnischen Ort Oswiecim das größte Grauen der Menschheitsgeschichte angerichtet haben, indem sie die Juden Europas dorthin deportiert haben, misshandelt, gequält und ermordet haben."
82,18_103_2015-05-07,"Israels sehr ernst und glaube, der Iran ist nach wie vor ein großer Unruheherd, eine Gefahr, ein Sponsor des internationalen Terrorismus."
83,18_103_2015-05-07,Wir brauchen einen grundlegenden Paradigmenwechsel in der Asylpolitik: weg von der ge Deutscher Bundestag – 18. Wahlperiode – 103. Sitzung.
84,18_103_2015-05-07,Die Mehrheit der Asylsuchenden – das zeigen auch die Zahlen – erhält gegenwärtig einen Schutzstatus in Deutschland.
85,18_103_2015-05-07,Deswegen muss das Leitbild bei ihrer Aufnahme eine schnelle Integration sein.
86,18_103_2015-05-07,Die Zeit ihres Asylverfahrens sollte nicht ungenutzt bleiben.
87,18_103_2015-05-07,"Selbst der Bundesinnenminister fordert inzwischen, noch nicht anerkannte Flüchtlinge zu Integrationskursen zuzulassen – allerdings nur, wenn sie gute Chancen auf Asyl haben."
88,18_103_2015-05-07,"Das ist zwar ein richtiger Schritt in die richtige Richtung, doch nach unserer Auffassung sollten alle Asylsuchenden Zugang zu Sprachkursen erhalten."
89,18_103_2015-05-07,"Statt der Anwendung des Asylbewerberleistungsgesetzes fordern wir ihre Einbeziehung in das allgemeine System der sozialen Sicherung, vor allen Dingen auch der Gesundheitsversorgung."
90,18_103_2015-05-07,Asylsuchende sind keine Kriminellen.
91,18_103_2015-05-07,Die Kommunen sind überfordert und bringen Asylbewerberinnen und Asylbewerber in menschenunwürdigen Unterkünften unter.
92,18_103_2015-05-07,"Die Linke tritt für ein Flüchtlingsaufnahmegesetz ein, um eine dauerhafte Übernahme der Kosten für Aufnahme und Unterbringung der Asylbewerber während ihres Verfahrens durch den Bund zu regeln."
93,18_103_2015-05-07,"Durch finanzielle Entlastungen könnten Länder und Kommunen ihren eigentlichen Kompetenzen nachkommen, wie beispielsweise Integration, Einbindung in die städtische Infrastruktur, rechtliche und soziale Betreuung sowie Bildung und Arbeit."
94,18_103_2015-05-07,"Wir sagen daher: Lasst uns in die Integration investieren, nicht in Abschreckungspolitik!"
95,18_103_2015-05-07,"Berlin, Donnerstag, den 7. Mai 2015  Ulla Jelpke  (A) (C)  (D)(B) das Asyl bestätigt wird."
96,18_103_2015-05-07,"Zunächst sind wir uns, liebe Ulla Jelpke, offensichtlich in einem Punkt einig: dass nämlich die vielen ehrenamtlichen Helfer, die unser Asylsystem mittragen, deutlich machen, wie groß das Verantwortungsbewusstsein für Flüchtlinge in ganz Deutschland ist."
97,18_103_2015-05-07,Gleichzeitig spricht sich aber eine klare Mehrheit für strenge Asylregeln aus.
98,18_103_2015-05-07,"Es ist daher sehr wohl gerechtfertigt, zwischen unterschiedlichen Asylbewerbern zu unterscheiden."
99,18_103_2015-05-07,"Wenn die Bedingungen für Flüchtlinge in Deutschland so schlecht wären, wenn wir keine Willkommenskultur hätten, dann würde wohl nicht jeder dritte Asylantrag in Europa in Deutschland gestellt werden."
100,18_103_2015-05-07,"Gleichzeitig wird aber gefordert, der Bund alleine solle sämtliche Kosten für die Verfahren, für die Unterbringung und für die Versorgung der Asylbewerber übernehmen."
101,18_103_2015-05-07,Über das novellierte Asylbewerberleistungsgesetz übernimmt der Bund jährlich Kosten von 43 Millionen Euro.
102,18_103_2015-05-07,Der Freistaat Bayern zum Beispiel übernimmt vollständig die Kosten für die Unterbringung und Versorgung von Asylbewerbern.
103,18_103_2015-05-07,Im ersten Quartal dieses Jahres wurden über 85 000 Asylanträge in Deutschland gestellt.
104,18_103_2015-05-07,Das Bundesamt für Migration und Flüchtlinge hat in diesem Jahr bei 8 324 geprüften Asylanträgen von Serben in keinem einzigen Fall einen Schutzgrund festgestellt.
105,18_103_2015-05-07,Bei 11 250 Entscheidungen über Asylanträge von Kosovaren wurde in nur einem einzigen Fall ein subsidiärer Schutzgrund festgestellt.
106,18_103_2015-05-07,"Nur wenn wir auch in den Herkunftsländern Fluchtursachen bekämpfen und wenn wir Fehlanreize in Deutschland beseitigen, dann werden wir unsere Kommunen dauerhaft und nachhaltig entlasten."
107,18_103_2015-05-07,Ein wesentlicher Fehlanreiz ist die Vermischung von Asyl- und Arbeitsmigration.
108,18_103_2015-05-07,Asyl dient ausschließlich dem Schutz verfolgter Menschen und nicht der Fachkräfteanwerbung.
109,18_103_2015-05-07,"Angesichts der steigenden Gesamtschutzquote, die aktuell bei 37 Prozent liegt, und der immer noch zu langen Verfahrensdauer müssen wir die Asylbewerber, bei denen Schutzgründe offensichtlich sind, schneller integrieren und ihnen schneller Integrations- und Sprachkurse zur Verfügung stellen."
110,18_103_2015-05-07,Aber – auch das gehört dazu – bei aussichtslosen Asylanträgen müssen wir für eine schnelle und zügige Rückführung und dem vorgeschaltet auch für schnelle Verfahren Sorge tragen.
111,18_103_2015-05-07,"Um die Asylverfahren zu beschleunigen, hat das Bundesamt für Migration und Flüchtlinge im letzten Jahr 650 zusätzliche Stellen bekommen."
112,18_103_2015-05-07,"Wir sollten gemeinsam auf allen Ebenen dafür Sorge tragen, dass wir nicht nur die Symptome bekämpfen, dass wir nicht nur mehr Geld fordern, dass wir uns nicht auf Sprachkurse beschränken, sondern dass wir auch das Globale im Auge behalten, dass wir auch Europa noch mehr mit in die Verantwortung nehmen und die vielfältigen Ursachen anpacken."
113,18_103_2015-05-07,Sie sind nicht die Asylprüfungsverfahrensinstanz.
114,18_103_2015-05-07,"Wo sind die Unterstützungsleistungen für Integration, für Traumaberatung der vielen Fliehenden, die traumatisiert sind?"
115,18_103_2015-05-07,"Das zeigt, dass es nicht nur um deutsche Asylpolitik geht."
116,18_103_2015-05-07,"Das zeigt auch, dass es nicht nur um Asylpolitik geht."
117,18_103_2015-05-07,"Jetzt liegt das nur noch im zweistelligen Bereich, und das ohne die Ausweisung als sicherer Herkunftsstaat."
118,18_103_2015-05-07,Wir wollen die Kommunen von den Kosten der Flüchtlingsunterbringung und Integration entlasten.
119,18_103_2015-05-07,"Artikel 16 a unseres Grundgesetzes zum Asylrecht ist schon einzigartig in dieser Welt, in unserer Welt."
120,18_103_2015-05-07,"Mein Landkreis stellt Geld für Integrationskurse, Sprachkurse zur Verfügung."
121,18_103_2015-05-07,Integrationslotsen werden ausgebildet.
122,18_103_2015-05-07,"Wir müssen weitere sichere Herkunftsländer festlegen – das, was wir da haben, reicht noch nicht – oder andere Strukturen schaffen, die so gut und sicher sind, dass dies nicht nötig ist, um zu gewährleisten, dass Menschen, die nicht politisch verfolgt sind – ich beziehe mich auf Artikel 16 a des Grundgesetzes –, nicht mit der Begründung, hier Asyl zu beantragen, zu uns kommen können."
123,18_103_2015-05-07,Für die Abschiebung sind die Länder zuständig.
124,18_103_2015-05-07,"Die Menschen, die kein Bleiberecht haben, weil kein Asylgrund vorliegt und deren Antrag daher abgelehnt wurde, müssen konsequent in ihre Herkunftsländer zurückkehren, und dafür sind die Länder verantwortlich."
125,18_103_2015-05-07,"Die Verstärkung der Grenzschutzmaßnahmen, die Bekämpfung der Schleuserkriminalität, die Zerstörung von Schleuserschiffen, die Eindämmung von sogenannten Migrantenströmen, die freiwillige Erklärung von EU-Mitgliedstaaten, Italien und Malta ein paar Flüchtlinge abzunehmen."
126,18_103_2015-05-07,"Das Europäische Parlament, Ban Ki-moon, António Guterres, Papst Franziskus, die EKD, der Bundespräsident, Pro Asyl, Amnesty und nicht zuletzt eine klare Mehrheit der Menschen in Deutschland wissen, dass es doch zuallererst um das Leben und die Rettung von Menschen gehen muss, dass es aber auch um die Verteidigung unserer Werte geht."
127,18_103_2015-05-07,Eine dritte wichtige Herausforderung ist die weltweite Bekämpfung der Fluchtursachen.
128,18_103_2015-05-07,"Stichworte hierfür sind die menschenwürdige Aufnahme, die schnelle Integration – Frau Jelpke, Sie haben das eben noch einmal ausführlich erwähnt – und die Hilfen beim Spracherwerb."
129,18_103_2015-05-07,Sie sprechen von 173 000 Asylsuchenden im Jahre 2014.
130,18_103_2015-05-07,"Seit 2014 ist der Arbeitsmarktzugang für Flüchtlinge und Asylbewerber deutlich erleichtert, und die Residenzpflicht ist gelockert."
131,18_103_2015-05-07,"Es muss aber auch klar sein, dass unser Asylverfahren nicht für diejenigen gedacht ist, die keinen Schutz brauchen und eigentlich nur hierherkommen, um ihre Lebensperspektive zu verändern."
132,18_103_2015-05-07,"Es ist aber so einfach gesagt, dass Fluchtursachen bekämpft werden müssen."
133,18_103_2015-05-07,"Habe ich überhaupt eine Chance auf Asyl, wenn ich mein Leben aufs Spiel setze, wenn ich meine Familie, wenn ich meine Kinder verlasse?"
134,18_103_2015-05-07,Aber wir sollten zusammen mit dem UNHCR solche Asylanlaufstellen auf den Weg bringen.
135,18_103_2015-05-07,Ein großes Problem sind die Asylsuchenden vom Balkan.
136,18_103_2015-05-07,"Wenn wir sehen, dass allein in den ersten drei Monaten von insgesamt 88 000 Asylanträgen 44 000 von Menschen aus den Westbalkanländern gestellt wurden – die Anerkennungsquote bei diesen Menschen liegt bei gerade einmal 0,1 Prozent –, dann wissen wir, dass es richtig war, Serbien, Mazedonien und Bosnien-Herzegowina zu sicheren Herkunftsstaaten zu erklären."
137,18_103_2015-05-07,Innerhalb von acht Wochen wurden allein 28 000 Asylanträge von Menschen aus dem Kosovo gestellt.
138,18_103_2015-05-07,"Wir müssen diesen Menschen sagen, dass es dann falsch ist, hier einen Asylantrag zu stellen."
139,18_103_2015-05-07,"Du wirst keine Chance haben, in Deutschland Asyl zu bekommen."
140,18_103_2015-05-07,Ich wünsche dem Asylgipfel morgen viel Erfolg.
141,18_103_2015-05-07,"Des wegen brauchen wir auch Richtlinien für Kinder im Asylverfahren, damit sie nicht wie Erwachsene behandelt werden."
142,18_103_2015-05-07,Dazu gehört etwa das Abschneiden des alten Zopfes der Widerrufsverfahren bei bereits gewährtem Asyl.
143,18_103_2015-05-07,"In der Koalitionsvereinbarung steht, dass wir gemeinsam mit den Ländern dafür sorgen wollen, dass auch den Asylbewerbern frühestmöglich Sprachangebote unterbreitet werden."
144,18_103_2015-05-07,"Ich persönlich und der Großteil der SPD-Fraktion – um das klar zu sagen: nicht nur das Präsidium der SPD – stehen auf dem Standpunkt, dass die Übernahme der Kosten für die Unterbringung und Versorgung von Flüchtlingen und Asylbewerbern eine staatliche Aufgabe ist."
145,18_103_2015-05-07,Damals hatten wir in der Bevölkerung eine geringe Akzeptanz für die Aufnahme von Flüchtlingen und Zuwanderern generell.
146,18_103_2015-05-07,Ich würde es sogar als gelebte europäische Integration bezeichnen – und das über die Grenzen der Europäischen Union hinaus.
147,18_103_2015-05-07,Als deutsche Einwanderungsgesellschaft wollen wir eine lebendige und verantwortungsvolle Erinnerungskultur.
148,18_103_2015-05-07,Ohne eine langfristige Verbesserung der Lebens- und Einkommensverhältnisse vor Ort wird Somalia auch weiterhin Rekrutierungsgebiet und Basis für Terrorismus und Piraterie bleiben.
149,18_103_2015-05-07,"Die Frage beim Jemen war, ob man das vollständige Abgleiten dieses Landes in den islamistischen Terrorismus zulässt oder nicht."
150,18_103_2015-05-07,"Ich denke, Europa braucht keine Rechtsform, die anfällig für Missbrauch – Geldwäsche, Steuerhinterziehung und möglicherweise auch Terrorismusfinanzierung – ist, sondern eine Rechtsform, die sich letztendlich auf Rechtssicherheit und Rechtsklarheit stützt."
151,18_103_2015-05-07,"Ich erinnere an Emigranten wie Willy Brandt, die damals übrigens in der Politik als Landesverräter beschimpft wurden, und insbesondere Willy Brandts großartige Geste, den Kniefall im Warschauer Ghetto."
152,18_103_2015-05-07,"Wir wollen beispielsweise die Weiterentwicklung von Integrationsunternehmen zu Inklusionsunternehmen quantitativ, aber auch qualitativ fördern."
153,18_103_2015-05-07,"Wir brauchen ein inklusives Bildungssystem und einen inklusiven Arbeitsmarkt und keine Abschiebung in Sonderwelten, wie zum Beispiel in Werkstätten oder Sonderschulen."
154,18_103_2015-05-07,"Wir möchten die Integrationsbetriebe viel stärker ausbauen und den Menschen die Gelegenheit geben, sozialversicherungspflichtig und mindestlohnrelevant auf dem ersten Arbeitsmarkt tätig zu werden."
155,18_103_2015-05-07,"Es gibt Integrationsfirmen, und es gibt das Budget für Arbeit, das in vielen Bundesländern in Anspruch genommen werden kann."
156,18_103_2015-05-07,"Wie Sie wissen, ist die Pazifik-Allianz eine Initiative der Staaten Peru, Mexiko, Chile und Kolumbien, welche sich im Bereich Handel und Integration und bei der Entwicklung stabiler demokratischer Strukturen unterstützen."
157,18_103_2015-05-07,"Diese Entwicklung ist das Ergebnis des erfolgreichen Integrationsprozesses in Lateinamerika, der in den vergangenen zehn Jahren von linken Regierungen vorangetrieben worden ist."
