,Unnamed: 0,Term_NDoc_Date,Sentence,polarity
1932,1932,18_152_2016-01-28,Heute wie damals brauchen Flüchtlinge sowie Asyl suchende unseren Schutz und unsere aktive Hilfe.,1.0
1931,1931,18_152_2016-01-28,"Ich möchte auch deutlich betonen, dass wir als Bundeshaushaltsgesetzgeber unsere Hausaufgaben gemacht haben, indem wir das Programm „Integration durch Sport“ deutlich aufgewertet haben: von 5,4 Millionen Euro im Jahr 2015 auf 11 Millionen Euro in diesem Jahr.",1.0
1929,1929,18_152_2016-01-28,"Der Kampf gegen Fluchtursachen würde reichen, wäre effektiver und sinnvoller.",1.0
1928,1928,18_152_2016-01-28,"Unsere Antwort muss klar und deutlich sein: Fangen wir an, Fluchtursachen durch kohärente und konsequente Politik, also mit verbindlichen Standards, zu bekämpfen.",1.0
685,685,18_127_2015-10-01,"Die Integration der Flüchtlinge wird nur gelingen, wenn wir als aufnehmende Gesellschaft eine klare Vor­ stellung davon haben, was wir brauchen und was wir nicht brauchen, und wenn wir klare Ansagen machen.",1.0
686,686,18_127_2015-10-01,"Alle anderen haben nichtsdestotrotz ein individuelles Recht darauf, nach unserem Grundgesetz jedenfalls immer noch, hier einen Antrag auf Asyl zu stellen.",1.0
689,689,18_127_2015-10-01,"Wir haben eine rechtliche, eine menschliche Verpflichtung, unser Asylsystem nach allen Kräften des Staates und der Gesellschaft arbeitsfähig und funktionsfähig zu halten.",1.0
691,691,18_127_2015-10-01,Der Gesetzentwurf des Bundesinnenministers schwächt nicht das Recht auf Asyl.,1.0
1916,1916,18_152_2016-01-28,"Was ich in dieser Auflistung nicht finde, was aber sicherlich auch eine besondere Herausforderung ist, ist die effektive Bekämpfung des internationalen Terrorismus.",1.0
3275,3275,18_201_2016-11-22,"Ich möchte ausdrücklich betonen, dass wir in den letzten zwei Jahren eine weitgehende gesetzgeberische Tätigkeit insbesondere im Hinblick auf die Bekämpfung des islamistischen Terrorismus an den Tag gelegt haben.",1.0
3847,3847,18_239_2017-06-21,"Dank haben Ihnen, Frau Jelpke, einige Vorredner schon die richtige Antwort auf die Frage gegeben, ob auch Fluchtursachen bekämpft werden.",1.0
768,768,18_127_2015-10-01,"Schlepperbanden auch mit militä­ rischen Mitteln zu begegnen, halte ich mit Blick auf un­ sere humanitäre Schutzpflicht gegenüber den flüchtenden Menschen somit prinzipiell für opportun und notwendig.",1.0
1990,1990,18_154_2016-02-17,"Wir werden keine Einigung akzeptieren, die einzelnen Mitgliedsländern ein Veto gegen weitere Integrationsschritte gibt.",1.0
811,811,18_128_2015-10-02,"August 2015 wurde für jugendliche und heranwachsende Geduldete, die eine qualifizierte Berufsausbildung aufnehmen, für die Dauer der Ausbildung ein Schutz vor Abschiebung erreicht.",1.0
815,815,18_128_2015-10-02,"Die bewährten Integrationskurse werden für Asylbewerber mit guter Bleibeperspektive geöffnet, und die hierfür vorgesehenen Mittel werden entsprechend dem gestiegenen Bedarf aufgestockt.",1.0
817,817,18_128_2015-10-02,Sprache ist aber auch ein Schlüssel für gelungene Integration.,1.0
1737,1737,18_148_2016-01-13,"Das BAMF hat außerdem eine Reihe organisatorischer Maßnahmen ergriffen, um die Asylverfahren zu beschleunigen und die Zahl der anhängigen Verfahren zu verringern, unter anderem die Einrichtung von vier Entscheidungszentren, Einsatz mobiler Teams zur Registrierung der Asylsuchenden, Cluster der Verfahren, Einteilung in drei Kategorien zur effizienten Bearbeitung der Verfahren.",1.0
824,824,18_129_2015-10-14,"Wenn wir jetzt mit der Türkei über die Flüchtlingskrise, die Eindämmung von Fluchtursachen und gemeinsame Strategien im Syrien-Konflikt verhandeln, dann müssen wir das mit Respekt und auf Augenhöhe tun, aber wir müssen uns auch fragen lassen, wer eigentlich die legitimen Ansprechpartner sind.",1.0
825,825,18_129_2015-10-14,"November in den Wahlkampf der Türkei – und dann auch noch auf der falschen Seite, nämlich bei denen, die die personifizierte Fluchtursache sind – eingreifen.",1.0
3376,3376,18_203_2016-11-24,"Sie sehen also, diese Bundesregierung legt mit diesem Haushalt gerade im Bereich der Arbeitsmarkt- und Sozialpolitik eine wesentliche Grundlage für eine verlässliche Sozialpolitik, für eine gute Integration der Menschen und vor allem für die Zukunft der Arbeit.",1.0
830,830,18_129_2015-10-14,Die EU-Aufnahmerichtlinie 2003/9/EG wurde in Deutschland in innerstaatliches Recht umgesetzt und ist von Ländern und Kommunen bei der Unterbringung von Asylsuchenden zu beachten.,1.0
1727,1727,18_148_2016-01-13,"Wenn es um die Bleiberechte dieser Schutzbedürftigen geht, bin ich nach wie vor davon überzeugt, dass Integration gut gelingen kann.",1.0
1725,1725,18_148_2016-01-13,"Ich habe aus Ihren Bemerkungen herausgehört, dass Sie sehr an einer gelingenden Integration interessiert sind.",1.0
835,835,18_129_2015-10-14,Gewalt gegen Asylsuchende ist unter allen Umständen zu verurteilen.,1.0
1723,1723,18_148_2016-01-13,Nur so kann die Herausforderung der Integration bei millionenfacher Zuwanderung gelingen.,1.0
1717,1717,18_148_2016-01-13,"Es ist richtig, solche Menschen aus dem Asylverfahren herauszunehmen.",1.0
840,840,18_129_2015-10-14,"In diesem Zusammenhang ist auch die in den oben genannten Ratsschlussfolgerungen vorgesehene Prüfung durch die EU zu sehen, ob es möglich ist, in Regionen in unter Migrationsdruck stehenden Drittstaaten sichere und dauerhafte Aufnahmekapazitäten zu schaffen und Flüchtlingen und ihren Familien langfristige Perspektiven und angemessene Verfahren zu bieten, bis sie in ihre Herkunftsländer zurückkehren können.",1.0
3391,3391,18_203_2016-11-24,"Ich finde es schade, dass wir dieses Geld, das notwendig ist – es braucht eine Betreuung während der Integrationskurse –, aus diesem Topf nehmen und nicht extra zur Verfügung stellen.",1.0
1706,1706,18_148_2016-01-13,"Aber das Triumphgeheul der Populisten und der Rassisten sowie die pauschale Hetze gegen Flüchtlinge, die danach eingesetzt hat, sind widerlich.",1.0
845,845,18_132_2015-11-04,Wir müssen jetzt verstärkt nach Afghanistan abschieben.,1.0
846,846,18_132_2015-11-04,"Das heißt, man wird bei abgelehnten Asylbewerbern in der Regel weitere Schutzgründe nach der EMRK verneinen, oder man wird behaupten, es gebe innerstaatliche Fluchtalternativen.",1.0
3399,3399,18_208_2016-12-14,"Ich kann aber gerne mein Haus bitten, einmal zu schauen, ob wir Ihnen zum Thema Imame und Asylanträge eine Zahl liefern können.",1.0
1695,1695,18_148_2016-01-13,"Ich finde es unverantwortlich, wenn Politik und Medien diesen Rassismus auch noch befeuern.",1.0
3798,3798,18_233_2017-05-17,"Darin sind sehr viele gute Regelungen zum Thema „Integration in Arbeit“, aber auch zum Thema „Sprachkurse“ enthalten.",1.0
1686,1686,18_148_2016-01-13,Niemand darf die furchtbaren Straftaten der Silvesternacht mit Hass und Rassismus beantworten.,1.0
3407,3407,18_208_2016-12-14,Ist das im Sinne unserer Art und Weise der Terrorismusbekämpfung?,1.0
858,858,18_132_2015-11-04,"Aber wie verträgt sich das mit der Behauptung Ihres Ministers, dass es in Afghanistan solche sicheren Häfen gebe, es also innerstaatliche Fluchtalternativen gebe, die man den afghanischen Flüchtlingen im Asylverfahren entgegenhalten könne?",1.0
3367,3367,18_203_2016-11-24,"Aber der Kämmerer von Oberhausen, ein Sozialdemokrat, ist in der Frage der Bewältigung von Integrationsaufgaben genauso zuverlässig wie der Oberbürgermeister von der CDU.",1.0
3818,3818,18_233_2017-05-17,"Ich möchte vor allem zwei Themenfelder ansprechen, die uns bereits beschäftigt haben und uns in den nächsten Jahren weiterhin fordern werden, nämlich das ganze Thema der Digitalisierung, die Auswirkungen der digitalen Transformation auf unsere Ausbildung, sowie die Integration von jungen Menschen mit Migrationshintergrund und vor allem von Flüchtlingen in unser Bildungs- und Beschäftigungssystem.",1.0
3326,3326,18_202_2016-11-23,"Ich habe zumindest noch nicht gehört, dass die Bürgerkriege in Syrien und im Irak beendet wurden, dass sich die Situation in der Ukraine oder in Afghanistan beruhigt hat oder dass die Fluchtursachen in Afrika verschwunden sind.",1.0
3365,3365,18_203_2016-11-24,"Hören Sie auch auf, unsinnige Gesetze wie das Integrationsgesetz mit der Wohnsitzauflage zu verabschieden!",1.0
1804,1804,18_149_2016-01-14,"Damals sind bei rund 15 000 Widerrufsprüfverfahren circa 4 800 Asylbescheide, also knapp ein Drittel, widerrufen worden.",1.0
3327,3327,18_202_2016-11-23,"Ich erinnere mich noch, dass es, als Gabriel gesagt hat, dass Marokko und Tunesien nur noch dann weiterhin Mittel zur Entwicklungszusammenarbeit bekommen, wenn sie die Leute zurücknehmen, die wir abschieben wollen, Empörung gab, auch in der Union.",1.0
3841,3841,18_239_2017-06-21,"Die letzte Forderung aus der Türkei, das Besuchsrecht der Abgeordneten daran zu koppeln, dass türkischen Soldaten und Beamten kein Asyl in Deutschland gewährt wird, ist eines Rechtsstaats unwürdig.",1.0
3330,3330,18_202_2016-11-23,"Das bedeutet, dass wir mit der gleichen Summe, die wir derzeit im Inneren aufwenden, um 1,5 Millionen Zuwanderer in Deutschland zu versorgen, den weltweiten humanitären Bedarf von 125 Millionen Menschen komplett abdecken könnten.",1.0
1799,1799,18_149_2016-01-14,"Abseits von der humanitären Verpflichtung, die wir haben, droht uns, dass wir, wenn wir Menschen nach drei Jahren zurückschicken, gerade diejenigen zurückschicken, die wir hier am besten brauchen können, die hier schon auf dem Wege der Integration sind.",1.0
777,777,18_128_2015-10-02,"Denken wir an die Diskussionen, die wir derzeit über eine gerechte Behandlung der Flüchtlinge und eine wirklich europäische Flüchtlingsund Asylpolitik führen.",1.0
3337,3337,18_202_2016-11-23,"Der Klimawandel hat reichlich mit Entwicklungschancen, aber auch mit Fluchtursachen zu tun.",1.0
1786,1786,18_149_2016-01-14,In nur 5 Prozent der Fälle ist die Asylberechtigung widerrufen worden.,1.0
1778,1778,18_149_2016-01-14,"Das Bundesamt für Migration und Flüchtlinge ist daher gemäß § 73 unseres Asylgesetzes verpflichtet, innerhalb von drei Jahren zu prüfen, ob die Schutzgründe weiterbestehen und ob der Betroffene auch wahrheitsgemäße Angaben gemacht hat.",1.0
3832,3832,18_239_2017-06-21,"Er ist vielfach eng verknüpft mit anderen Diskriminierungsformen, auch mit gruppenspezifischem Rassismus, zum Beispiel dem, der sich gegen Muslime wendet.",1.0
1772,1772,18_149_2016-01-14,"Das wäre doch durchaus eine gute Gelegenheit, diesen Vorschlag mit aufzunehmen und im BAMF damit die Kapazitäten, die es dringend zur Bearbeitung und Entscheidung in Asylverfahren benötigt, freizusetzen.",1.0
788,788,18_128_2015-10-02,"Der Zugang zu Bildung ist ja keine kleine Fußnote in einer allgemeinen Flüchtlingsagenda, sondern Bildung – davon sind wir überzeugt – ist der zentrale Dreh- und Angelpunkt jeder gelungenen Asyl- und Integrationspolitik.",1.0
3830,3830,18_239_2017-06-21,"Eine breite Mehrheit der Bürgerinnen und Bürger in unserem Land lehnt Fremdenfeindlich keit, Rassismus und Antisemitismus ab.",1.0
1768,1768,18_149_2016-01-14,"Bisher  ist das Bundesamt für Migration und Flüchtlinge gesetzlich dazu verpflichtet, seine Entscheidungen zur Anerkennung von Asyl und zur Zuerkennung der Flüchtlingseigenschaft spätestens nach drei Jahren zu überprüfen.",1.0
3828,3828,18_239_2017-06-21,"Spätestens aus der NSU-Nazimordserie und dem dazugehörigen Versagen nicht nur des Staates wissen wir: Wir haben in der Bundesrepublik ein grundsätzliches Problem mit Rechtsextremismus, mit Rassismus und Antisemitismus.",1.0
3354,3354,18_203_2016-11-24,"Deutschland ist ein Einwanderungsland, und wir brauchen ein vernünftiges Einwanderungsgesetz.",1.0
794,794,18_128_2015-10-02,"Dort motiviert man beispielsweise Unternehmer mit Migrationshintergrund, etwa türkische Gemüsehändler, junge Leute auszubilden.",1.0
3358,3358,18_203_2016-11-24,Ich möchte mein Abstimmungsverhalten zum Gesetz zur Beteiligung des Bundes an den Kosten der Integration und zur weiteren Entlastung von Ländern und Kommunen für meine Fraktion wie folgt erklären.,1.0
799,799,18_128_2015-10-02,"Die Frage ist also, wie Integration gemeinsam erfolgreich gestaltet werden kann.",1.0
3359,3359,18_203_2016-11-24,"Kolleginnen und Kollegen, dieses Paket umfasst gut 20 Milliarden Euro für die nächsten vier Jahre, die Integrationspauschale von dreimal 2 Milliarden Euro.",1.0
3360,3360,18_203_2016-11-24,Auch ich möchte hier eine Erklärung zum Abstimmungsverhalten meiner Fraktion zum Integrationskostenbeteiligungsgesetz abgeben.,1.0
1754,1754,18_149_2016-01-14,"Oder nehmen Sie den anerkannten Asylbewerber, der aus Syrien kommt und in München als Bäcker arbeiten möchte.",1.0
3364,3364,18_203_2016-11-24,"Jetzt wer den sie aber durch das von Ihnen verabschiedete Gesetz gezwungen, in das Bundesland zurückzukehren, das ihnen für die Durchführung des Asylverfahrens zugewiesen worden ist.",1.0
638,638,18_126_2015-09-30,"Für eine Integration dieser Gruppe, die gegenwärtig alle einen Flüchtlingsstatus in Deutschland zugesprochen bekommen, ist dies eine gute Voraussetzung.",1.0
630,630,18_126_2015-09-30,Man muss auch nicht immer nur abschieben.,1.0
3088,3088,18_191_2016-09-23,"Hier lebende Migrantinnen und Migranten dürfen nicht länger Bürgerinnen und Bürger zweiter Klasse sein, egal seit wann sie hier leben und arbeiten.",1.0
2188,2188,18_156_2016-02-19,"Um auch das deutlich zu sagen, Herr Strobl: Ihre Argumentation, dass die Aufnahme der Westbalkanstaaten in die Liste der sicheren Herkunftsstaaten zu einem Rückgang der Asylbewerber aus diesen Staaten geführt hat, ist falsch.",1.0
2180,2180,18_156_2016-02-19,"Meine sehr verehrten Damen und Herren, noch eine letzte kurze Bemerkung zum Ausweisungsrecht.",1.0
3127,3127,18_195_2016-10-19,"Erlangt das Bundesamt für Migration und Flüchtlinge (BAMF) von einer Fälschung erst nach Abschluss des Asylverfahrens Kenntnis, prüft das BAMF im Falle eines positiven Bescheids die Einleitung eines Rücknahmeverfahrens.",1.0
2171,2171,18_156_2016-02-19,"CDU und CSU sind die Taktgeber, wenn es darum geht, die Asylgesetzgebung sachgerecht und angemessen voranzubringen.",1.0
483,483,18_121_2015-09-10,"Solange Menschen keine andere Chance sehen, als über Schlepper und Menschenhändler nach Europa zu kommen, werden wir das Elend an unseren Grenzen nicht los.",1.0
485,485,18_121_2015-09-10,"Vertreter der Koalition haben in dieser Haushaltswoche zu Recht häufig gesagt, es gehe darum, die Fluchtursachen zu überwinden.",1.0
2169,2169,18_156_2016-02-19,"Das zeigt sich ganz wunderbar bei den Sprachkursen, auf die nur Syrer, Iraner, Iraker und Eritreer ein Anrecht haben, zum Beispiel Afghanen aber nicht.",1.0
487,487,18_121_2015-09-10,"Aber Sie wissen wie wir, dass das Asylrecht, das Zuwanderungsrecht dem enge Grenzen setzt.",1.0
488,488,18_121_2015-09-10,"Die Fluchtursachen können Sie angehen, indem Sie Waffenexporte einstellen und verbieten.",1.0
491,491,18_121_2015-09-10,Wir müssen auch bei den Prinzipien des Asylrechts klare Kante zeigen.,1.0
3134,3134,18_197_2016-10-21,"Die Auslandsaufklärung ist für den BND unverzichtbar, um Terrorismus, organisierte Kriminalität und die Verbreitung von Massenvernichtungswaffen effektiv bekämpfen zu können.",1.0
2152,2152,18_156_2016-02-19,Wie können wir am schnellsten abschieben?,1.0
3140,3140,18_197_2016-10-21,Zugleich stärken wir mit einem neuen Freibetrag für Einnahmen aus ehrenamtlicher Tätigkeit das Engagement der Flüchtlinge und damit ihre Integration.,1.0
498,498,18_121_2015-09-10,"Denn nur wenn es gelingt, gemeinsam mit der Wirtschaft das Potenzial und die Motivation der Menschen, die zu uns kommen, zu nutzen, nur dann wird Integration gelingen.",1.0
2147,2147,18_156_2016-02-19,Seit der Aufnahme der Westbalkan-Staaten in die Liste der sicheren Herkunftsstaaten sind die Asylbewerberzahlen aus dieser Region drastisch zurückgegangen.,1.0
506,506,18_121_2015-09-10,Ihren positiven Asylbescheid hat sie nach neun Monaten und zwei Wochen erhalten.,1.0
507,507,18_121_2015-09-10,"Doch welcher Arbeitgeber stellt sie ein, wenn jederzeit die Abschiebung droht?",1.0
4003,4003,18_85_2015-02-05,Wir haben schon längst ein außerordentlich modernes und fortschrittliches Zuwanderungsrecht.,1.0
3153,3153,18_197_2016-10-21,Die Berechnung nach dem Asylbewerberleistungsgesetz ist geringfügig anders.,1.0
2130,2130,18_156_2016-02-19,"Wir brauchen schnellere Asylverfahren, eine Stärkung der Haupt- und Ehrenamtlichen und eine entschlossene Bekämpfung der Fluchtursachen.",1.0
4000,4000,18_85_2015-02-05,"Es ist gut, dass wir heute diese Debatte über das Einwanderungsrecht führen.",1.0
3999,3999,18_85_2015-02-05,"Man muss sich auch einmal entscheiden, ob man den Zuwanderern eher vorwerfen will, dass sie Sozialleistungen kassieren, oder, dass sie uns die Jobs wegnehmen.",1.0
3155,3155,18_197_2016-10-21,"Wir hatten in der Koalition im Rahmen des Integrationsgesetzes vereinbart, den notwendigen Bedarf anders zu regeln und die Bedarfe für Strom und Wohnungsinstandhaltung aus dem Leistungssatz auszugliedern, wie das schon beim Hausrat der Fall ist.",1.0
519,519,18_121_2015-09-10,"Wir haben den Vorschlag unterbreitet, das gute und bewährte Instrument der Integrationsbetriebe zu nutzen, um sozusagen Schritte zu ermöglichen, den ersten Arbeitsmarkt zu erreichen.",1.0
2184,2184,18_156_2016-02-19,"In diesem Sinne: Ich glaube, das Gesetzespaket, das heute eingebracht wird – das Asylpaket II und die Verschärfung des Ausweisungsrechts –, ist sachgerecht und maßvoll.",1.0
3124,3124,18_195_2016-10-19,"Wir haben es ja beim Flüchtlingsstatus, beim Asylrecht, mit einem Individualgrundrecht zu tun, das im Einzelfall geprüft werden kann und nicht kollektiv abgelehnt oder bejaht werden kann.",1.0
3157,3157,18_197_2016-10-21,"Nachdem sich meine Kollegin Schimke und mein Kollege Zimmer ausführlich mit der Ermittlung der Regelbedarfe nach dem Sozialgesetzbuch II und dem Sozialgesetzbuch XII befasst haben, möchte ich einige Worte zu den geplanten Änderungen des Asylbewerberleistungsgesetzes sagen.",1.0
2191,2191,18_156_2016-02-19,"Unter den Asylbewerbern sind auch Kriminelle, die bei uns Straftaten begehen.",1.0
434,434,18_120_2015-09-09,"Eins zu eins umgesetzt würde diese Vorschrift für Deutschland bedeuten – Herr Präsident, ich bemühe mich, gleich zum Schluss zu kommen –, dass wir 3 000 Flüchtlinge im Jahr hätten, während Griechenland 300 000 Asylanträge bearbeiten müsste.",1.0
2249,2249,18_157_2016-02-24,"Das Bild von klatschenden Menschen vor einem brennenden Asylbewerberheim in Bautzen oder von grölenden Menschen in Clausnitz, die einen Bus stoppen wollen, ist für uns alle, meine Damen und Herren, unerträglich.",1.0
4038,4038,18_85_2015-02-05,"Lassen Sie uns ein solch flexibles System einführen, das nicht nur nachfrageorientiert ist, wie unser jetziges Zuwanderungssystem, sondern das auch angebotsorientiert ist, wie das Punktesystem.",1.0
2247,2247,18_157_2016-02-24,"Wir haben 2015  14 000 rechtsextrem motivierte Straftaten gehabt, darunter 1 600 Straftaten im Zusammenhang mit der Unterbringung von Asylsuchenden.",1.0
4033,4033,18_85_2015-02-05,"Ich habe doch klar und deutlich gesagt, dass wir für Einwanderung sind.",1.0
3095,3095,18_191_2016-09-23,"Mit dieser Kampagne und Ihrem Kampf gegen die doppelte Staatsbürgerschaft verhindern Sie auch, dass Deutschland Heimat wird für Millionen von Migrantinnen und Migranten.",1.0
2239,2239,18_156_2016-02-19,Ein Arbeitsplatz ist und bleibt der Schlüssel für eine erfolgreiche Integration.,1.0
2233,2233,18_156_2016-02-19,Nur dann werden wir Fluchtursachen wirklich wirksam beseitigen.,1.0
3102,3102,18_191_2016-09-23,Eine erfolgreiche Integration kann dann auch mit der deutschen Staatsbürgerschaft belohnt werden.,1.0
2228,2228,18_156_2016-02-19,"Die Europäische Union muss, um diese Zuwanderung zu bewältigen – sie ist schwer zu bewältigen, auch bei allerbestem Willen; und der gute Wille ist in Deutschland ja erkennbar –, jetzt mit der Afrikanischen Union in einen permanenten, dauerhaften Dialog eintreten.",1.0
