	Unnamed: 0	Term_NDoc_Date	Sentence	Frame
460	460	18_120_2015-09-09	Wir brauchen aber auch, wenn wir über die viel zitierten Fluchtursachen reden, Mittel – das ist angesprochen worden, das macht die Entwicklungszusammenarbeit –, um Kriege gar nicht erst entstehen zu lassen, um Bürgerkriege zu verhindern, um den Ausbruch von Kriegen zu verhindern und um den Zerfall von Staaten, die in sehr schwierigen Situationen sind – gerade in Subsahara-Afrika –, zu verhindern, damit die Menschen dort überhaupt eine Lebensperspektive haben, Zugang zu Nahrung haben, vielleicht einen Arbeitsplatz finden, um sich selbst ernähren zu können, und ein Mindestmaß an Sicherheit garantiert ist, damit sie ihr Leben auch gestalten können.	
461	461	18_120_2015-09-09	Ich möchte an einem Beispiel deutlich machen, dass wir mehr tun können, um Entwicklungszusammenarbeit zur Konfliktprävention und zum Vorbeugen von Krisen, Kriegen und Fluchtursachen zu nutzen.	
462	462	18_120_2015-09-09	Mit den Mitteln der deutschen Entwicklungspolitik können wir nicht sämtliche Fluchtursachen in der Welt beseitigen.	
463	463	18_120_2015-09-09	Meine Damen und Herren, wir müssen eine rigorose Verfolgung und Bestrafung von Schleppern forcieren.	
464	464	18_120_2015-09-09	Ich sage es deutlich: Schlepper sind keine Gutmenschen, Schlepper sind teilweise Mörder.	
465	465	18_120_2015-09-09	Es taucht verstärkt die Frage auf, warum wir nicht genug in den Herkunfts- und Aufnahmeländern investieren, aus denen die Menschen zu uns kommen, warum wir nicht mehr versuchen, die Fluchtursachen zu bekämpfen – irgendwie, aber auf jeden Fall mit deutlich mehr Engagement.	
466	466	18_120_2015-09-09	Deshalb – das wurde heute ganz oft angesprochen – ist es natürlich ein gutes Zeichen, dass im Haushaltsentwurf beim Etat des Ministeriums für wirtschaftliche Zusammenarbeit und Entwicklung ein deutliches Plus zu verzeichnen ist, auch, aber nicht nur, für die Sonderinitiative „Fluchtursachen bekämpfen, Flüchtlinge reintegrieren“.	
467	467	18_120_2015-09-09	Entwicklungszusammenarbeit – auch das wurde schon gesagt – ist kein Allheilmittel, um Fluchtursachen zu beseitigen.	
468	468	18_120_2015-09-09	Tunesien gibt Hoffnung, gilt als Leuchtturm für Demokratie und Stabilität, ist aber massiv vom Terrorismus bedroht.	
469	469	18_120_2015-09-09	Fluchtursachen und der Umgang der Städte mit Flüchtlingen werden dabei eine wichtige Rolle spielen müssen.	
470	470	18_120_2015-09-09	Morgen hat Thomas Oppermann eine weitere Konzentration auf genau dieses Anliegen vorgeschlagen, nämlich eine Umschichtung hin zu diesem Titel für die Sonderinitiative „Fluchtursachen bekämpfen, Flüchtlinge reintegrieren“.	
471	471	18_120_2015-09-09	Andererseits – das ist ja auch aus der bisherigen Diskussion hervorgegangen – ist ja eigentlich der gesamte Haushaltsplan des Ministeriums für wirtschaftliche Zusammenarbeit und Entwicklung der Versuch, Fluchtursachen zu bekämpfen und Chancen zu geben.	
472	472	18_120_2015-09-09	All das und vieles mehr – Konfliktmineralien, Lieferketten, keine ordentlichen Arbeitsbedingungen, Kinderarbeit, Zwangsarbeit und dergleichen, keine fairen Handelsverträge – sind auch Fluchtursachen.	
473	473	18_121_2015-09-10	Erst die wirtschaftliche Leistungskraft unseres Landes,  gepaart mit soliden Finanzen, erspart uns jetzt schwere Entscheidungen und Konflikte darüber, wie wir die Aufnahme und die Integration so vieler Menschen in Deutschland schaffen und finanzieren wollen.	
474	474	18_121_2015-09-10	Der Bund muss die Voraussetzungen bei der Grundsicherung des SGB II, aber auch bei der aktiven Arbeitsmarktpolitik, bei Sprachkursen und bei der Qualifizierung schaffen, um eine größere Zahl von Menschen in den Arbeitsmarkt zu integrieren.	
475	475	18_121_2015-09-10	Hier liegen Chancen und Risiken der Zuwanderung ganz dicht beieinander.	
476	476	18_121_2015-09-10	Die Zuwanderer, die jetzt kommen, können uns helfen, das zu ändern.	
477	477	18_121_2015-09-10	Kümmern wir uns zu spät um Sprachausbildung, suchen wir nicht nach der Qualifikation der Menschen, die zu uns kommen, und lassen wir sie monatelang oder noch länger untätig bleiben, dann werden die Integrationsprobleme wachsen.	
478	478	18_121_2015-09-10	Wir müssen Sprachkurse anbieten und die Anerkennung von Abschlüssen weiter beschleunigen.	
479	479	18_121_2015-09-10	Flucht und Asyl dürfen nicht jahrelanges  Nichtstun bedeuten.	
480	480	18_121_2015-09-10	Ausbildung und Arbeit sind die beste Integration.	
481	481	18_121_2015-09-10	Integration und soziale Teilhabe bedeuten vor allem auch Kindertagesstätten- und Schulplätze sowie bezahlbarer Wohnraum, übrigens für alle, die ihn brauchen, nicht nur für Flüchtlinge.	
482	482	18_121_2015-09-10	Wir brauchen eine Alternative zu Schlepperbanden und zu Menschenhändlern.	
483	483	18_121_2015-09-10	Solange Menschen keine andere Chance sehen, als über Schlepper und Menschenhändler nach Europa zu kommen, werden wir das Elend an unseren Grenzen nicht los.	
484	484	18_121_2015-09-10	Deswegen rate ich uns dringend, in Deutschland das Thema Einwanderungsgesetz voranzutreiben und übrigens auch in Europa für eine solche Politik zu werben.	
485	485	18_121_2015-09-10	Vertreter der Koalition haben in dieser Haushaltswoche zu Recht häufig gesagt, es gehe darum, die Fluchtursachen zu überwinden.	
486	486	18_121_2015-09-10	Eine zweite Konsequenz im Umgang mit dem Flüchtlingsproblem wäre, sich mit Industrieverbänden und  Kammern dafür einzusetzen, dass Flüchtlinge und Asylsuchende schnell in Arbeit und Ausbildung kommen.	
487	487	18_121_2015-09-10	Aber Sie wissen wie wir, dass das Asylrecht, das Zuwanderungsrecht dem enge Grenzen setzt.	
488	488	18_121_2015-09-10	Die Fluchtursachen können Sie angehen, indem Sie Waffenexporte einstellen und verbieten.	
489	489	18_121_2015-09-10	Dass so viele Leute eine Willkommenskultur zeigen, ist nur erfreulich und zeigt, wie reif unsere Demokratie ist und wie reif und auch wie reich unser Land ist, weil wir uns das leisten können.	
490	490	18_121_2015-09-10	Die nächsten 400 Zöllner stellen wir nicht für die Kontrolle des Mindestlohns ein, weil wir ein Misstrauen gegenüber den Unternehmen nicht in dem Maße begründen können, wenn es maximal um 0,58 Prozent geht, sondern schicken wir zum BAMF und sorgen dafür, dass die Integration und die Asylverfahren beschleunigt werden.	
491	491	18_121_2015-09-10	Wir müssen auch bei den Prinzipien des Asylrechts klare Kante zeigen.	
492	492	18_121_2015-09-10	Ich bin dafür, dass wir das Asylrecht so beibehalten, wie es ist.	
493	493	18_121_2015-09-10	Es kommt zu einer Welle von Einwanderungen großer Firmen in die USA, weil die Energiepreise so fantastisch niedrig sind, dass es sich für sie lohnt, wegzugehen.	
494	494	18_121_2015-09-10	Drittens müssen wir Europa zusammenhalten und auch auf dieser Ebene für Integration sorgen.	
495	495	18_121_2015-09-10	Das sind die drei Integrationsaufgaben, die wir haben.	
496	496	18_121_2015-09-10	Ich komme jetzt auch zum Thema Fluchtursachenbekämpfung.	
497	497	18_121_2015-09-10	Dass viele Mitbürger in unserem Land angesichts einer solchen Anzahl von Flüchtlingen Ängste haben und sich fragen, wie Bund, Länder und Kommunen die Unterbringung und auch die Integration bewältigen wollen, ist, wie ich glaube, nur allzu verständlich.	
498	498	18_121_2015-09-10	Denn nur wenn es gelingt, gemeinsam mit der Wirtschaft das Potenzial und die Motivation der Menschen, die zu uns kommen, zu nutzen, nur dann wird Integration gelingen.	
499	499	18_121_2015-09-10	Diese Lebenschancen brauchen wir für die Einheimischen und für die Zuwanderer.	
